id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
26,188,506,21,20,8,513.4375,30.390625,0.9717938303947449,1.0,0,0,620,389
27,4224,0,124,67,102,29.0625,200.578125,0.9711425304412842,0.9572550654411316,0,0,620,389
28,9389,205,169,117,160,242.1875,212.734375,0.9704258441925049,0.9599541425704956,0,0,620,389
29,1284,582,217,37,83,590.9375,297.828125,0.970264732837677,0.9708812236785889,0,0,620,389
30,142,176,0,8,16,184.0625,6.078125,0.9702321887016296,0.98591548204422,0,0,620,389
31,990,72,153,34,37,87.1875,176.265625,0.968782901763916,0.9682854413986206,0,0,620,389
32,219,198,88,11,21,203.4375,103.328125,0.9687276482582092,0.9954545497894287,0,0,620,389
33,2447,151,152,110,33,184.0625,176.265625,0.9676152467727661,0.968561053276062,0,0,620,389
34,3819,278,245,112,80,358.4375,297.828125,0.9669835567474365,0.9682416915893555,0,0,620,389
35,539,298,34,10,58,300.3125,79.015625,0.9665535688400269,0.9708561301231384,0,0,620,389
36,5539,498,181,121,207,513.4375,285.671875,0.9661067724227905,0.9714438915252686,0,0,620,389
37,3968,210,92,146,58,319.6875,115.484375,0.9651529788970947,0.9634387493133545,0,0,620,389
38,4059,0,306,71,81,9.6875,346.453125,0.9643424153327942,0.9708737730979919,0,0,620,389
39,433,65,269,32,18,87.1875,273.515625,0.9642465710639954,0.9726027250289917,0,0,620,389
40,844,0,261,61,22,48.4375,273.515625,0.9633846879005432,0.9686775207519531,0,0,620,389
41,511,166,17,24,30,184.0625,18.234375,0.9633579850196838,0.9689922332763672,0,0,620,389
42,1021,90,108,32,43,106.5625,127.640625,0.9633255004882812,0.9806389212608337,0,0,620,389
43,1415,69,108,54,57,106.5625,127.640625,0.9631986618041992,0.9632709622383118,0,0,620,389
44,163,17,0,20,8,29.0625,6.078125,0.9628341197967529,0.9818181991577148,0,0,620,389
45,388,350,54,18,32,358.4375,66.859375,0.9624046683311462,0.9794871807098389,0,0,620,389
